,qid,question_text,target
935114,b73fce038bd56258e9ec,Why are sex offenders targeted in prison?,0
1125249,dc8313e5151ce49dd0da,How does Christianity draw the line for Homosexuality (as a sin)? Does genuinely loving a person of the same sex and wishing to start a future with him/her a sin according to Christian values?,0
550287,6bd0fdc73c34d4c21578,"In what way, Facebook is useful to our society?",0
669360,83169d9cf98da4c334b3,"In simple English, what does a bodybuilder eat in a day and in a week and in a month?",0
190303,25359632d5386af26b2c,"Can a victim of child abuse survive and be unscathed by the abuse, if so does it take a certain personality to get through it better than others?",0
245375,2ffe2c30f5b0f100bb8d,How is your experience at AFSB Dehradun?,0
567326,6f293717f9649b0b7a31,"Which is the best book to improve English, with reference to CAT exam?",0
131372,19b47a45ebaf8cb21154,"Can I also attempt UPSC exam by doing engineering if yes, than which is better graduation or engineering?",0
130376,19818d69d0d99e29a247,Why do everybody oppose Islam?,1
729515,8ed881fe4f49cd184dc4,How can I publish my article in any daily newspaper?,0
712711,8b83c9e07a4fae518b86,What are the necessary customer data points to build an accurate predictive model for recurring revenue?,0
1060161,cfb9d9e16595ed434fdf,What is your favorite persuasive essay and why?,0
911544,b29f14ef6d0414366e99,What are the key things to consider when starting a business in France?,0
188664,24e5dc5d88389a0b2392,Can I use Android Studio in Xbuntu/Lubuntu? Will I get the same results?,0
1022129,c84dcdc61c354d3bdb53,How can an elbow strap help you ease the discomfort caused by tendonitis?,0
866220,a9b802b74e81077d7e8d,Is it ok to listen to earape.?,0
154245,1e2b555d98f86d2df1a0,"In Infosys, when a systems engineer becomes a senior systems engineer, is there hike in salary? When he can become a SSE after his confirmation?",0
902136,b0c3afc9e7179a4bc7b8,Should Black Lives Matter now be classified as a domestic terrorist organization on par with the Black Panthers?,1
761147,951eaf9075a9bfc4dd60,What is a landing?,0
387716,4bf6146349b440e22d95,Is it hard for a 189 visa holder find a job in Australia in mechanical production field?,0
415767,5179799198ee2ca09052,What benefit do I get from SIP when the investment time of future deposits keep getting lesser? Isn't it a trap?,0
94310,127463a8d404fe732fb5,How would you describe the aftermaths of the United States antitrust laws?,0
352405,4511676e310fddf6a711,What is it like to assist to the Royal College of Physicians and surgeons of Canada?,0
430421,545bbb856fbf58aa18ca,Which printer is good for magnetic sheet printing?,0
1026345,c91e63d1334ae5e0662b,How should an investor determine which stocks to analyze?,0
261864,33400a329867ff9a8ce3,What is the list of current assets?,0
675634,84505be0ba6a66d1d33e,What would be the scope of freelancing in JavaScript/Node.js in 2030?,0
605357,768b881062a859cfe416,"In the M.Tech Integrated degree Certificate, do universities in India mention the word INTEGRATED with Master of Technology?",0
632640,7be30fb8841e0051dbcd,Is it true that there are crooks and gangsters looking to steal valuable items during solo bike riding?,0
35637,06fa8b40e4ab6ef8eb31,How much horsepower does a locomotive have?,0
508014,63792d212844ed1dfea4,How would Quora look in 2050?,0
1180948,e76cde3ed6e3c6c3b5b6,How do I know when I am in love with her?,0
105773,14b5a56deff5c7f105b2,What are some of the best horror movies to watch?,0
1093066,d6386b96ff094d387d49,Are Hindus allowed to watch porn?,0
472167,5c7593aecd6890417785,What should I give my 18 years old male friend for Christmas?,0
41177,080d89b84b6c68aa1dee,Is an automatic crossbow possible with the technology at the time it was prevalent?,0
988201,c198f332d52d0583127c,When will the amount will be refunded?,0
1084009,d46e4b2180beccfc4a0c,Is it wise decision to buy plot for residential purpose in BDP zone in Vadgaon (Bk) Pune?,0
427552,53cca85e493b719e02fd,What are some handy tips to keep in mind before setting out on a wildlife safari?,0
241781,2f4a3390164edbcae08e,Who was Moctezuma II?,0
445159,5738cab6a03c21bd41d0,Is there a book based on Stephen glass and the new republic?,0
968751,bdcef90ba6805762c926,Why English is called as international language?,0
691170,875f12f9403156f31111,What are the chances for a PA in Cognizant to get on-site opportunity?,0
1041315,cc0991d03df3a90daa3e,Is it safe to mount a regular microwave oven over a stove?,0
1146801,e0b147e5dbf641d21dd6,Can socks swell up your foot/leg? Why or why not?,0
651540,7f9e90053c1cb8353bef,Why is Bitcoin affecting the GDP of Japan in a positive manner?,0
443884,56fa9b16ab19626debd1,What kind of students get into IISERs?,0
672162,83a2b73db66942060399,Where can I buy skis in Shanghai?,0
742104,9157e84da7e099262fcb,"I ordered a Razer mouse pad from this site Woot.com, can I resell it online?",0
218243,2ab2847f69ddeb859781,What topic can you consider when you are from Rural development as your bachelor degree?,0
1291895,fd346948e5305eb3f5d0,"If a college student wants extra credit for a class, should they turn in a self-devised, class-related research assignment for their professor to potentially accept, or should they just ask if there’s anything else available for credit?",0
1022595,c86426046a505aae97c4,What is nine less than the quotient of two and a number x?,0
269533,34c23e69318b81990f79,Do impulses exist?,0
1300809,fef3d30a39e013b30836,What is the likelihood that the US government will eventually forgive all student loans?,0
819958,a0aa1b95198a457a60a7,How do you wear Cufflinks?,0
286591,381f35f82a20b915b2d7,"If net price is 590, what will be the GST amount?",0
136341,1ab039644373f8913b2d,How is human service related to community development?,0
515605,64f360d5870ad12bbac4,How likely would foreign students enroll if IIT's open up?,0
559215,6d8ff471535ca25fee64,How do u solve: cos6x+cos4x+cos2x?,0
1292358,fd4b09ed8ab16caa4daa,Are Asian girls fond of Middle Eastern men/boys?,0
867288,a9ee3978f240d1aebe7c,Could Ottomans have conquered Europe if they had not have had to contend with the Safavids of Persia on their Eastern border?,0
872118,aadce5ec53d0d534312b,What was your experience in the first morning after your marriage?,0
900499,b06edad474812935cbb4,"What is the scope in aeronautical engineering, in terms of government jobs in India?",0
1194270,ea0f5c67f142b177c251,Why do Chinese nationalists bother the free world on website like Quora?,1
1056256,cef9093d9acdf8bcb854,What's the best thing you've learnt today?,0
1123714,dc350d023ddf1ea76325,I’ve been a stay at home Mom for 6 years. I live at home with my mother and husband. The house is always dirty but I can’t seem to grt myself to clean it. Is it because it’s not my house?,0
895594,af77f6f18fe8172baa7a,What is an effective way to study and accurately remember a large mass of information like in history or essays or critical analyses?,0
799760,9cb63cab0421adf356e1,What is Omar Khayyam's greatest contribution in mathematics?,0
240487,2f0b21aa25197825e763,"Since Saudi Arabia, Egypt and Jordan have taken the side of Kurds, should they create a joint force to take out the artificial/proxy state that was created by the UK and France and deport the gypsies (Terrorist Turks) back to the caves in Mongolia?",1
1090129,d5a148edfd85a64bb2fa,How can lead–lag compensators influence disciplines like robotics?,0
835595,a3be80f63320e092cb57,Why are there no reservations for Dalits at Google India?,0
633466,7c0df742510ebdc0dac5,"Regardless of how you interpret the 2nd amendment or the constitution, Why do we consider it okay to take away someone’s constitutional rights because they are a felon?",0
1074069,d275d52b3ff3855c721c,What is it living like in Russia for deaf people?,0
701990,8973bbd89139817c5fb1,How do you know if you love a sport?,0
948701,b9e5df2b0e6eed1f86e9,Is it rude to stare at other people's shopping cart at the supermarket?,0
434277,551b64b5f02a8f07b0e3,"Should one still use a jar of acrylic paint that one has had for years (and never used), though it has liquid separated from the paint (if one shakes the jar thoroughly)?",0
38278,077b7a0ccf07310f55bf,Are more African American soldiers assigned to the 3rd Special Forces because they need to blend in better with the local population in Africom missions?,0
1201578,eb7df5b835180531fb72,What allows you to remain peaceful and assured in the face of adversity?,0
636876,7cbcfca72fa1f4a2e8fc,Are Guangdong people offended by the idea that Cantonese is a Sinitic language?,0
209617,28fda62d504e66b8eacb,What do peregrine falcons eat?,0
924911,b542927bd11cce81c126,How must one overcome stage fright and give a strong presentation?,0
716590,8c48c8c9ca5b7a289dde,Can someone who blocked me on WhatsApp view my story?,0
823781,a16d54961cf3be2fade3,Is the Nigerian economy likely to get out of recession with Buhari's policies and posture?,0
1139581,df50926b622753a49d0f,"If you listen to an accent long enough, is there a chance you might get a bit of it?",0
559669,6da7f31d3978f0b92e00,How did humans survive the predators of the ice age?,0
82573,102a4a4196de396fac14,How do I nail the CFA level 1 exam this Saturday? Averaging about 45%-50% in the mock exams.,0
832652,a32d4c82b3635086c416,Who are the most controversial Publishers in the UK at the moment?,0
745927,921dd8b3d6ff2f67e3fa,Are there any related studies regarding the level of awareness about the deep web?,0
1075952,d2d595637814ba8da57a,Why are refugees a threat to national sovereignty and the stability of the international system?,1
1030540,c9f09099c4eb2d4a4787,Why do American and European men have flat abs while Indians have pot bellies?,1
191359,2569628e80fb737922d2,Have you taken the #IAmNewIndia pledge? What pledge you took and why?,0
236453,2e41f16b167fae5ddc5b,Why do so many people mistake the trumpet and saxophone sound in jazz?,0
1133051,de0fc53ce89245c03dae,Which countries can I do masters in architecture that is cheap?,0
1105886,d8b73b1ca55579e5cfc9,What were Thomas Jefferson failures during his presidency?,0
759932,94e51bbf96aba9f53b26,What do you think of feeding pets in a house where your kids are?,0
315743,3de1ba9ef1a5b680ea2f,Should I be ashamed if I am virgin in highschool?,0
251896,314bf70966e6d34eb34a,What are two causes about conflict of Palestine and Israeli in small paragraph?,0
941217,b8783413f8d54c0278b5,Someone I know is particularly mean and hurtful under the pretext of being honest. Is there a way to stop them?,0
187679,24b6b7e048c9a270bd6d,I just found out that a friend of mine has been cutting herself. She gave me the razor and told me to hide it. What can I do to help her?,0
796855,9c2623dff40f38afaa00,Is a double major in Business/Computer Science a good combination to work in a changing banking industry (at a top public university)?,0
944666,b91dc8549940a9b29121,Israel has collected a tax surplus of over 20 billion Shekels ($5.7b USD). What would be the wisest way to invest the 'extra' cash?,0
942518,b8b57d586af496eaee9d,When is it the right time to abandon social organization and embrace instinctive organization?,0
127559,18f591ec5a06cba20f09,Is it right time to port my old mobile number to Jio?,0
1090585,d5b790ba81ca4fa9d822,"On many computer keyboards there is a little raised bar on the keys for ""F"" and ""J"" (US/UK keyboards anyway). What are they for?",0
906746,b1aadd27090b447a6252,How do I tell my brother (who I suspect to be gay) to cone out to me because I am gay too?,0
65350,0cd1263b90c26e5df43c,"Other than Japan, which navy in WW2 had the best torpedoes?",0
1244741,f3ee1761f45f6d30ab8e,Should I initiate?,0
1012884,c67d940a6bb3f21a8c82,Why do we read sociology?,0
22355,04657f13df6f7e1169cc,Would you rather have your children raised by Donald Trump or Barack Obama?,0
836763,a3f9e8f727f661d42e1f,Why do I feel the need to scream in a quiet room?,0
636359,7ca464c82fc7e9f75000,How can random sampling be carried out?,0
970500,be2542e00a10e920826d,Which United States cities have been hit hardest by Hurricane Maria?,0
972536,be86aed001bdbeca504b,What can someone do in life to avoid financial breakdown?,0
229801,2cf2566dc2a7d90299cd,What is the fee of Shubhra Ranjan Mam's PSIR optional classes?,0
675824,845ad63b91f14c40915b,How are the problems of record management developed?,0
662248,81b70b1c16942fbace39,What can I give my 5 month old kitten to stop her from vomiting white foam?,0
1149607,e13f7ea15e6a2be98cc4,Why do people ride motorcycles when it is so dangerous?,0
1130104,dd79a176c08709c00988,Can I get my refund on a stolen money order already cashed in?,0
106235,14cddb95212805e76d7e,"Evan has 4 times as many books as David and 5 times as many as Jason. If Jason has more than 40 books, what is the least number of books that Evan could have?",0
1291594,fd23a18b45f4f62d178a,In which country around the world have you visited the most beautiful Milonga in all aspects?,0
520123,65d46d95a336b959568c,How do sit ups and crunches compare and contrast?,0
1211653,ed7bc7232da49b2d95aa,"How can we prove that age is just a number and independent of our speciality, technically?",0
123627,18325c2691baac3c9c0f,Why did Americans choose the wrong candidates for the 2016 presidential elections?,0
751833,934e9d5cb9d1be73ccb8,What is the Greek word for truth?,0
101019,13c97fa0b86d3f9f2265,"Could the world be ending or have these events been happening? Are all of these constant hurricaines, fires, and earthquakes something to worry about?",0
894502,af425fcdd07b553b90db,Is erotic massage legal in Russia?,0
420052,5252932bc2154ade1618,How did tanks change warfare? Why are they important today?,0
192285,25963139b917c0ad2c8d,Could a black hole be the ultimate battery?,0
938171,b7dc74a63ede94007bd1,What birds inhabit Central Texas?,0
126826,18d06592100955ace087,"Why is Kendrick Lamar a hypocrite? Ok for him to use the ""N"" word but not his white fans. Why would I spend another penny buying anything from somebody with this kind of hypocrisy?",1
966742,bd68a15a13226616fe70,What are some characteristics of the different types of nonverbal communication?,0
393278,4d0948f8ea0e4394ea13,"When the Left put the kibbosh to Ann Coulter at UC Berkley, did the Right-wingers finally learn their lesson?",0
179707,2320089c9260ceb7b74b,How can I be group admin without added?,0
69284,0d960a6a8c83517907aa,Which team won France or Australia football?,0
160500,1f6215b97b6c118b74cb,Is NHRC in India showing political activism rather than moral upholding? It's recent actions have cast a doubt on it's functioning.,0
1083177,d44396107b5ef888572a,My ceiling fan that I bought a year ago has become very slow even after replacing the capacitor once. What should I do?,0
1205226,ec3b0012e00ef70a11f7,Why DMRC admit cards/hall tickets are not showing on mobile?,0
1175990,e675b29e67805b57433d,Should a teenage guy practice sex with his mom first?,1
1116419,dac6a97544989a082e51,What challenges did Paul James face in order to pursue his acting career?,0
680074,85304aa59ab5c3649485,What does it mean to have a broken ankle without pain?,0
304975,3bbca97041a7b4266751,"Can I give A2 milk to my father, he has liver cirrhosis?",0
1282601,fb5df94204994982b25f,Is moderate Muslim a falsehood or a myth?,1
378141,4a1f83a6762f66fefc27,What is the sources of income?,0
841608,a4f26d878e39cd83810a,"What is the best city (USA) to do a coding bootcamp in, considering the cost of living and the competition for junior developers positions?",0
1174094,e6182aba6586312f96f3,Was Sulla justified in the actions he took in response to Gaius Marius (e.g. March on Rome)?,0
142304,1bda9719aecdfb12eb1a,"How is the M.Des program in NIFT, Delhi?",0
1194934,ea31faf68463e86e2df9,Why she needed help?,0
945140,b9352a8ef5cb91e8b73b,"How's the Post Graduate Programme in Enterprise Management (PGPEM) from IIM-B, is it worth for the time & money?",0
685936,8658c348381ad8e8e188,A transport network is significant for plantation agriculture. Why?,0
645253,7e5f3ad54660556d7136,How long did it took you to feel normal after qutting Risperidone or other antipsychotic?,0
1044622,ccb13e07f1cb85ae7b1d,What is integral of |x| within the limits - 1 to +1?,0
427958,53e136b7758fa748eb08,What should I do for good health?,0
14468,02d8f112210cbfab933a,"What is the best definition of a ""serial killer""? Does someone have to kill more than two to qualify?",0
96764,12eeed6315840917d6b4,Is there any use learning a European language like German or French in the United States?,0
238721,2eb253b354d6c620db7b,Is there a such thing as a wrong opinion?,0
1121672,dbcb3ed07617c46629cb,Did Mace Windu have the power to defeat Yoda?,0
464295,5ae9c522bc7cce2792b4,Does your brother eat fish?,0
972478,be83ebe5ea8efb2e5460,How do I cover up self harm scars with makeup?,0
551365,6c077a6a225b83250b75,"If 30% of the world's population turned into titans from Attack on Titan, how would world powers respond?",0
92542,122105d4558b3958949d,How do you overcome your fear and doubt while learning flying solo?,0
695657,883e26135ecac9a4312f,"If you could travel forward in time, how far and where would you go?",0
560545,6dcfd0f0a453954cdb29,How is it possible for a non-physical entity to exist? Is this not a logical impossibility?,0
537399,6943413f2012bc43b999,Can stress and aniexty cause you to pee yourself while sleeping?,0
705705,8a3072c44cf754a8cd39,Can an 18 year-old boy date an 11 year-old woman?,1
293787,39866a7c8416b0c08854,Which are rummy cards for studying?,0
89791,11987b57b08d45d341a0,"Are the US Bill of Rights considered ""embedded"" or not?",0
175963,2265f2f74281428ec288,"Who would win in a fight, Bowser or Sabertooth?",0
241941,2f525495bdc2f45a4295,Do wealthy people stay wealthy by buying businesses?,0
1163171,e3ea7c0f50715ab36f0d,What is the digital printing machine?,0
778357,9877631dd6e914d05c5d,Are West Africans physically superior to East Africans?,1
645088,7e56ae30d244016c6c13,What is the smallest island in the Philippines?,0
403987,4f2ac2b599f809269d08,How do you operate an Ariens ST824?,0
1002587,c47bf53356e2ff2edf6c,"Does ""I miss talking to you"" mean ""I miss you""?",0
262429,335d4d1c48d23c184d59,"What product or services have the potential to be sold or marketed to audiences of ride sharing services like Uber, Lyft and Taxify?",0
546175,6aff209cf62da10ae43c,Is it possible to be happy and faithful in a sexless marriage?,0
911652,b2a44ef056356155550e,Why does psychologist/psychiatrist expert seem never remind people about the danger of psychopath/sociopath/narcissist existence in TV advertisement/YouTube etc even many people had suffer like to death become a victim/survivor?,0
698940,88dba6511673f81b5049,What does the DSA (Democratic Socialists of America) think about the current situation in Venezuela?,0
105085,1493d33d6cceac41eb76,What are the commerce and management courses that commerce without maths students can apply in Christ university Bengaluru?,0
674948,842efd8ac6582f42d7ad,Why do domestic animals not fear humans like wild animals?,0
442124,56a4764a8a487b15d10b,How could/would you make Avatar: The Last Airbender more 'Christian friendly'?,0
288890,3895fbef88f8f8aa25aa,I need help identifying a movie where a mom and her daughter fight a disease and end up in a different dimension alone. Can you help me identify it?,0
65407,0cd4044eb24d293bfa4d,What fairy tales (besides The Little Mermaid) have strong associations with water?,0
1161304,e38be68e270995871d04,Is there a realistic way for Greece to become a regional or even a global power?,0
849359,a66a1dd3b9a9b908dde3,How much ROM GB required for iPhone?,0
673072,83d0c2d955b4dc6fc657,What Obama did to help the world be a better place?,0
645545,7e6e05d7f4d427684664,What do I need to know before writing a book about life experiences?,0
757479,9466db457983b9b90fb1,"When I hear about rape or see a rape scene or anything which is hurtful and wrong related to women, I get aroused (physically)?",1
705108,8a10d89a6d6664b2be1f,What is the probability of finding mainframe jobs in Berlin?,0
233295,2d9fcbb0364591b41821,"Why Dennis Ritchie didn’t get the credit he deserve (money, fame ..)?",0
226147,2c391912d22c8fc8f176,What are the personality trait of a perfect lawyer?,0
1274999,f9dcb9ece2e5e7a5cf56,Is US keep having wars just to keep its military industry being in demand?,0
1125458,dc8cd31168ea986295c2,"After a jump, is there hike for the first year appraisal in Deloitte?",0
649524,7f34a260293ad0c23c47,How do I stop Google Chrome Android app from automatically downloading webpages?,0
177189,22a487d42f26adca58f0,Why isn't Snapchat letting me add a person?,0
883443,ad15080d64c969f03bdf,How do you clean a largemouth bass?,0
157990,1ee815ced893a0715e60,Do you think temporary motivation comes with a lot of problems?,0
634211,7c33fc819bab13055234,Why does Quora send me notifications for questions that have already been closed?,0
1024838,c8d57fcb780c43798f70,How do you calculate income elasticity?,0
1145281,e066c4a874a68eb608f7,"How old is the ""fresh"" salt water fish in the supermarkets in Toronto?",0
826383,a1f362c943895cbb9149,Does Quora track how often you click 'Upvote' before clicking 'Continue Reading'? I would be interested in those statistics.,0
47374,09468a103f75e75505bb,Do you prefer a natural look?,0
432377,54bf4e216a1ec7a65f64,Have you missed class because you had baby sitter issues?,0
709003,8acee07097c9af3954c3,How can I get my new dog to stop chasing and terrorizing my cat?,0
1260816,f715a5db6dd94fbc6699,What are the qualities you look for in a co-founder?,0
547809,6b515b1b385e8661c4f2,How come Iranian Jews identify as Iranian Jews whereas Jews from Arab countries don't identify as Arab Jews?,0
63749,0c81ba3e8763f4049e91,"Being a guy, what would you do if you're completely naked, and a group of girls accidentally enter your room and start screaming at the top of their voices?",0
207735,28a0c90639796af1088d,What is my best choice with a rank of 7198 in JEE Mains 2018?,0
116362,16c5431ee230c512e8d1,"Why do girls act the way they do (scream, wet themselves, etc.) at male-act concerts (and some at female-act concerts), and boys don't at female-act concerts?",1
998600,c3afe9fe4aacdf72a550,Can we put seawater directly on a top of a mountain?,0
886901,adc3dbf02a7aa699acfa,"Is there something as ""intellectual colonialism""?",0
389449,4c495f67e3357f6d7409,Is a luxury vehicle worth the cost?,0
627654,7aebedaeba5d39065908,Excel will no longer open. System restore did not work. How do I restore excel?,0
171460,218384dca954fd3ad262,Who decides upon the pension for central govt. employees?,0
1264452,f7cc85ad56d48bcb5a9b,What is Neo otto?,0
486510,5f474ec1e8d01d2c7026,Can we bath in 70metres waterfall?,0
689195,86fdec8de1e26ccaecae,What are some jobs at the Pentagon in Washington DC?,0
1097332,d70fad8d491dbca4ac6f,Is there any need explaining to a narcissist why you are leaving her?,0
163855,2009ff7bceab2505d698,What is the biggest decision you have made?,0
458592,59d306d2e195ba948d31,Is askiitians videos of physics are enough for JEE preparation?,0
73207,0e57cb3e35c6a82f5279,What is your favorite yoga pose and what is your least favorite? Why?,0
1118313,db24c5daed4e0149f433,How I become smart?,0
259737,32d6b799c3b5b3ec956a,What are the threats to biodiversity in your area?,0
296054,39f8325537a62c641f4e,Where can we get free PDF of reference books of engineering?,0
473793,5cc866ff2587acefdd6b,What was the most interesting thing you learned today?,0
178770,22ef05ec1243e679625e,Why is the skin under my lip so dry?,0
1204588,ec191f440a3f1f7fa390,Why does a witch weight the same as a duck?,0
1294099,fda1b3e9f842159c7f36,Have you ever had a virtual crush?,0
1130029,dd764e64b74591384952,Why was I blocked on Facebook?,0
428568,53ffba2fe7b3f103c763,I have failed twice continuously in college. I am broken. What should I do?,0
238242,2e9a130f2e38d0eb1235,"If women have the right to their body, why do taxpayers have to pay for abortions?",1
771038,970d9a2f863349fe84d4,What's the song Win by Tee Grizzley about?,0
901730,b0aecc36abf808aea21c,What should I do if I love her and she just wants to be friends even I tried to walk away but she keeps asking me for attention then she becomes cold again?,0
177227,22a66b6416b4a339aa1e,What is the application of aluminium 6061-t6 welded with pure copper?,0
319114,3e8a9d27ea46743654e6,What is attraction in young people about old in sex?,0
466138,5b471307c10605fdfcf7,Can someone give honest review on Honda CBR250RR?,0
1141166,df9e140e26d4d7f41477,What kind of part-time can be done in China?,0
368829,4850502fe12587293218,What is the pane are of an isocles trapezoid with a segment of a circle?,0
817876,a04286677cb7fba6f15d,"Why don’t liberals promote fatherless households, and deem men as a disposable gender?",1
1083956,d46bc91567e34f94bcdc,"What do you think of BBC's remarks""The junk is down""on the remains of an eight-tonne defunct Chinese space lab?",0
502324,625ac6d6050dda86c3c4,"Why do I always feel like exercising after I take a shower but never before? Is it ok to shower before and after working out every day, or will this dry out my skin and hair?",0
1100386,d7a6a9ad4fb2a273e34a,"When deciding on beneficiaries on asset distribution, would it be permissible to formulate my Will to determine who gets what and how much?",0
590940,73c18a7e56096114f367,What if you know that there is no one for you and that you are just a burden and a curse for the people around you?,0
51235,0a0baa43e279b7ec429f,What causes red itchy skin around eyes?,0
14457,02d81aa4eb722f9f13cd,How do the top rankers of JEE manage school and coaching classes?,0
1027287,c94f243d30095e0a6ada,Do you ever fear that abstract intelligence is being wasted because people link some of these thoughts to mental illness?,0
527133,67351104d3cd2b0eeb5e,Will the Yamaha R15 v2.0 suit a skinny guy.Details in comment?,0
590975,73c351f4222f4fa24f59,Which political party can offer me a good post and make me rich if I inent to join?,0
16205,032f06c1b6da000626fd,What is the cutoff for IBPS RRB PO and IBPS PO under OBC category?,0
1288349,fc7dee5c91f3694c0bbb,How can I stream a pre-recorded video via Facebook live in mobile?,0
913445,b2fbeef75966897a4146,Would you be able to double your salary? How?,0
644223,7e2c24df53433f1d3603,Why were olefins given a specific name?,0
215188,2a163c248c6e89138900,Can we calculate anything raised to infinity?,0
671731,838b0b1df3b1ab31d0c4,What is the rate of weight loss through aerobics?,0
547345,6b3a1189fef858beb395,"I want to see other posts than my own on Hootsuite, how?",0
77053,0f151a3125c25742c9b5,Why did Snape wait until his death to show Harry how much he cares?,0
426901,53acfb9bf828991d4848,Can I do 12th after a gap of 10 years?,0
1156705,e2a60563c083104236fe,Should I drop a year and study for entrance examinations for good engineering colleges or take up colleges like Amity/Sharda and save a year?,0
803794,9d80102b77c342445749,What does atk girlfriend means?,0
1276745,fa35123e4139253038ff,Why doesn't thorium form anionic complex?,0
394736,4d56962f7a8fee3cf35c,Can money be sent out of Brazil through western union?,0
625745,7a89af61dda9fce1e472,What are the most unrealistic parts of Bright (2017 movie)?,0
970916,be3919a5140a9edb3698,Where can I watch all series and all episodes of balamory?,0
1006894,c54eaf9f6f1da847b6c5,Which i7 processor variant is the best?,0
1151358,e199395a0724fa5093f3,What is the best way to learn C programming language from beginning?,0
302474,3b3a03441188a3548074,Is it normal to lose weight after a surgery?,0
1283067,fb7510f39f42adeeef49,How government can reduce poverty?,0
266655,34305f0468e694fd84ef,Why do Indonesians know so many old Bollywood songs?,0
170912,2166ffbf194c5d019cbe,Which online buotique has vogue collections?,0
1055854,cee65d6e4b6da6f8bf4d,How much has China poached from American weapons technology?,0
813623,9f69e10001d032623965,"What is the best way to photograph in low light, high movement situations such as performances?",0
665526,8253d2038c96fa17589f,At what point do Islamic religious freedoms and the secular culture of America clash?,0
1087761,d5297ba6b91cb9f5ef57,What are the main causes of seborrhoeic keratosis spots?,0
494977,60ec976d3a2e5d69396e,My girlfriend of a year and a half left me for another guy. What can I do to get her back?,0
642239,7dcbda0e3371d152b7b7,Are Singaporeans more cultured than Malaysians?,1
1053275,ce63dcb15bf2d0b98398,I saw a short film recently in which a main character died painlessly from cancer. Is there such a cancer?,0
